stem,strategy,wait_ratio,loss_ratio,base_wait,act_wait,base_loss,act_loss,composite_w0.50,composite_w0.60,composite_w0.70
traffic_data_20260527_102148,adaptive,0.8823094004441154,0.8923959827833573,27.02,23.84,34.85,31.1,0.8873526916137364,0.8863440333798123,0.8853353751458879
traffic_data_20260527_102648,baseline_more_edges,0.9744094488188977,0.9764397905759162,20.32,19.8,26.74,26.11,0.975424619697407,0.975221585521705,0.9750185513460032
traffic_data_20260527_103148,baseline_more_edges,0.9534662867996201,0.9594771241830067,42.12,40.16,53.55,51.38,0.9564717054913134,0.9558706217529747,0.9552695380146361
traffic_data_20260527_103648,baseline_more_edges_more_tls,0.6552650429799427,0.694659839063643,55.84,36.59,68.35,47.48,0.6749624410217929,0.6710229614134229,0.6670834818050528
traffic_data_20260527_104148,baseline_original,0.7329767240133006,0.7527227397979269,138.34,101.4,152.42,114.73,0.7428497319056138,0.7408751303271511,0.7389005287486885
traffic_data_20260527_104648,baseline_more_edges_more_tls,0.7657912234042553,0.7920806131138235,60.16,46.07,70.46,55.81,0.7789359182590394,0.7763069792880826,0.7736780403171257
traffic_data_20260527_105148,baseline_more_edges,0.9533746944914459,0.9602953240360952,53.19,50.71,60.95,58.53,0.9568350092637705,0.9561429463093056,0.9554508833548406
traffic_data_20260527_105648,adaptive,0.542011319111885,0.607899461400359,22.97,12.45,27.85,16.93,0.574955390256122,0.5683665760272746,0.5617777617984272
traffic_data_20260527_110148,no_control,1.0,1.0,38.71,38.71,46.66,46.66,1.0,1.0,1.0
traffic_data_20260527_110648,no_control,1.0,1.0,43.07,43.07,52.28,52.28,1.0,1.0,1.0
traffic_data_20260527_111148,baseline_original,0.9870766835344493,0.9846489683825084,128.45,126.79,142.01,139.83,0.9858628259584789,0.986105597473673,0.986348368988867
traffic_data_20260527_111648,adaptive,0.905516673528201,0.9176686706746827,48.58,43.99,59.88,54.95,0.9115926721014418,0.9103774723867937,0.9091622726721454
traffic_data_20260527_112148,baseline_original,0.8378378378378378,0.8739721931529376,53.28,44.64,66.89,58.46,0.8559050154953878,0.8522915799638777,0.8486781444323679
traffic_data_20260527_112648,baseline_more_edges_more_tls,0.8261472662119985,0.8380170195923213,86.51,71.47,101.06,84.69,0.8320821429021599,0.8308951675641276,0.8297081922260954
traffic_data_20260527_113148,adaptive,1.0004810004810005,0.9989251164457184,20.79,20.8,27.91,27.88,0.9997030584633595,0.9998586468668877,1.000014235270416
traffic_data_20260527_113648,baseline_more_edges_more_tls,0.7351398601398602,0.8163037409268564,11.44,8.41,17.91,14.62,0.7757218005333584,0.7676054124546587,0.7594890243759591
traffic_data_20260527_114148,no_control,1.0,1.0,28.6,28.6,37.83,37.83,1.0,1.0,1.0
traffic_data_20260527_114648,baseline_more_edges_more_tls,0.93659599762235,0.9489076208498193,50.47,47.27,58.13,55.16,0.9427518092360847,0.9415206469133377,0.9402894845905909
traffic_data_20260527_115148,adaptive,0.982736013986014,0.9904712404712405,45.76,44.97,57.72,57.17,0.9866036272286272,0.9858301045801046,0.985056581931582
traffic_data_20260527_115648,baseline_more_edges_more_tls,0.6529071230807955,0.7049347471451877,39.73,25.94,49.04,34.57,0.6789209351129916,0.6737181727065523,0.6685154103001132
traffic_data_20260527_120148,adaptive,0.6170106524633822,0.657740708223588,60.08,37.07,68.34,44.95,0.6373756803434851,0.6333026747674645,0.6292296691914439
traffic_data_20260527_120648,baseline_more_edges_more_tls,0.7911931818181819,0.815426528179806,49.28,38.99,58.73,47.89,0.8033098549989939,0.8008865203628315,0.7984631857266691
traffic_data_20260527_121148,baseline_more_edges,0.9712800198068828,0.979533941236069,40.39,39.23,49.35,48.34,0.9754069805214759,0.9745815883785572,0.9737561962356387
traffic_data_20260527_121648,baseline_more_edges_more_tls,0.9218022925888094,0.9272602336310983,88.11,81.22,101.87,94.46,0.9245312631099538,0.923985469005725,0.9234396749014961
traffic_data_20260527_122148,baseline_more_edges_more_tls,0.8043388713442263,0.8158665478161211,145.66,117.16,157.06,128.14,0.8101027095801737,0.8089499419329842,0.8077971742857948
traffic_data_20260527_122648,no_control,1.0,1.0,35.94,35.94,45.39,45.39,1.0,1.0,1.0
traffic_data_20260527_123149,baseline_more_edges_more_tls,0.8960964408725604,0.9000100190361687,87.1,78.05,99.81,89.83,0.8980532299543645,0.8976618721380036,0.8972705143216428
traffic_data_20260527_123649,baseline_more_edges_more_tls,0.8772305496074232,0.8881350821649329,56.04,49.16,66.33,58.91,0.882682815886178,0.8815923626304272,0.8805019093746762
traffic_data_20260527_124149,adaptive,0.9218464554649556,0.9291257326838934,224.43,206.89,242.26,225.09,0.9254860940744245,0.9247581663525308,0.9240302386306369
traffic_data_20260527_124649,baseline_more_edges_more_tls,0.8892630744849446,0.8946351742909825,100.96,89.78,113.89,101.89,0.8919491243879636,0.8914119144073597,0.890874704426756
traffic_data_20260527_125149,baseline_more_edges_more_tls,0.9810665825181445,0.9833038198836326,31.69,31.09,39.53,38.87,0.9821852012008885,0.9819614774643397,0.9817377537277909
traffic_data_20260527_125649,adaptive,0.9020791415157612,0.9463636363636364,14.91,13.45,22.0,20.82,0.9242213889396989,0.9197929394549114,0.9153644899701237
traffic_data_20260527_130149,adaptive,0.9801136363636365,0.9846176601094512,56.32,55.2,67.61,66.57,0.9823656482365438,0.9819152458619624,0.981464843487381
traffic_data_20260527_130649,baseline_more_edges_more_tls,0.9086222451346823,0.9151425650346473,77.59,70.5,88.03,80.56,0.9118824050846648,0.9112303730946683,0.9105783411046718
traffic_data_20260527_131149,adaptive,0.9563932002956392,0.9662302576891105,81.18,77.64,96.24,92.99,0.9613117289923749,0.9603280232530278,0.9593443175136807
traffic_data_20260527_131649,no_control,1.0,1.0,25.88,25.88,33.83,33.83,1.0,1.0,1.0
traffic_data_20260527_132149,adaptive,0.8907068062827224,0.9004444444444444,45.84,40.83,56.25,50.65,0.8955756253635834,0.8946018615474112,0.893628097731239
traffic_data_20260527_132649,adaptive,0.8139040680024286,0.8345667223681069,32.94,26.81,41.89,34.96,0.8242353951852678,0.8221691297486999,0.8201028643121322
traffic_data_20260527_133149,no_control,1.0,1.0,68.93,68.93,82.24,82.24,1.0,1.0,1.0
traffic_data_20260527_133649,baseline_more_edges_more_tls,0.9825436408977557,0.98659169550173,16.04,15.76,23.12,22.81,0.9845676681997428,0.9841628627393454,0.9837580572789479
traffic_data_20260527_134149,baseline_more_edges_more_tls,0.8770168519182503,0.9072727272727272,27.89,24.46,38.5,34.93,0.8921447895954888,0.8891192020600411,0.8860936145245933
traffic_data_20260527_134649,adaptive,0.8641321283889061,0.8797966963151206,32.09,27.73,39.35,34.62,0.8719644123520134,0.8703979555593919,0.8688314987667705
traffic_data_20260527_135149,baseline_original,0.9652711703139866,0.9677733018474789,63.06,60.87,71.99,69.67,0.9665222360807327,0.9662720229273836,0.9660218097740343
traffic_data_20260527_135649,no_control,1.0,1.0,49.4,49.4,59.8,59.8,1.0,1.0,1.0
traffic_data_20260527_140149,adaptive,0.9517368582846603,0.9569238257483572,32.53,30.96,41.09,39.32,0.9543303420165088,0.9538116452701391,0.9532929485237693
traffic_data_20260527_140649,baseline_more_edges,0.98714859437751,0.994066882416397,12.45,12.29,18.54,18.43,0.9906077383969535,0.9899159095930647,0.9892240807891761
traffic_data_20260527_141149,baseline_more_edges,0.9532570860268523,0.9601490825688074,60.33,57.51,69.76,66.98,0.9567030842978299,0.9560138846436343,0.9553246849894388
traffic_data_20260527_141649,adaptive,0.9757164734193831,0.9800605305323126,45.71,44.6,56.17,55.05,0.9778885019758479,0.9774540962645548,0.977019690553262
traffic_data_20260527_142149,baseline_more_edges_more_tls,0.9206174200661521,0.9398821218074657,18.14,16.7,25.45,23.92,0.9302497709368089,0.9283233007626776,0.9263968305885462
traffic_data_20260527_142649,no_control,1.0,1.0,21.34,21.34,28.78,28.78,1.0,1.0,1.0
traffic_data_20260527_143149,baseline_more_edges,0.8274278215223096,0.848112128146453,60.96,50.44,69.92,59.3,0.8377699748343813,0.8357015441719671,0.8336331135095527
traffic_data_20260527_143649,baseline_original,0.9075175056150085,0.9130336315253085,75.69,68.69,88.31,80.63,0.9102755685701585,0.9097239559791285,0.9091723433880985
traffic_data_20260527_144149,baseline_more_edges,0.9448045570614811,0.9508817204301075,101.82,96.2,116.25,110.54,0.9478431387457944,0.9472354224089317,0.9466277060720691
traffic_data_20260527_144649,baseline_more_edges_more_tls,0.9117082533589251,0.9394313967861557,10.42,9.5,16.18,15.2,0.9255698250725404,0.9227975107298174,0.9200251963870942
traffic_data_20260527_145149,baseline_more_edges_more_tls,0.9398907103825137,0.9612200435729847,16.47,15.48,22.95,22.06,0.9505553769777493,0.9484224436587021,0.946289510339655
traffic_data_20260527_145649,baseline_original,0.9355154841238729,0.9381879762912786,51.02,47.73,59.05,55.4,0.9368517302075757,0.9365844809908351,0.9363172317740946
traffic_data_20260527_150149,baseline_more_edges,0.9636143117040632,0.9706362153344209,32.98,31.78,42.91,41.65,0.967125263519242,0.9664230731562062,0.9657208827931705
