icid,設備編號,路口名稱,群組,經度,緯度,三合一報表連結（網址）
ITEFT,STEFT10,重慶北四段72號,GA0111,121.512747,25.08194,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STEFT10
ITFFE,STFFE10,延平北五段-葫東街,GA0012,121.510348,25.082074,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STFFE10
ITFFW,STFFW10,重慶北四段72號-通河西一段,GA0111,121.5133,25.082117,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STFFW10
ITFNA,STFNA10,北安路554巷8弄,GC0072,121.549366,25.081935,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STFNA10
ITGFD,STGFD10,延平北五段83巷,GA0012,121.51029,25.082273,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STGFD10
ITGFS,STGFS10,重慶北四段-葫東街,GA0111,121.511903,25.083947,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STGFS10
ITGHW,STGHW10,承德路四段-後港街,GA0231,121.523127,25.082165,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STGHW10
ITGN6,STGN610,"北安路595,608巷",GA0103,121.548811,25.082054,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STGN610
ITGN7,STGN710,北安路554巷永安國小,GC0072,121.549255,25.081484,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STGN710
ITGR9,STGR910,內湖路一段351巷(西湖商工),GA0105,121.568747,25.08207,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STGR910
ITGWI,STGWI10,內湖路二段263巷(消防局),GA0110,121.590328,25.082021,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STGWI10
ITHFD,STHFD10,延平北五段136巷,GA0012,121.510267,25.08245,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STHFD10
ITHRR,STHRR10,內湖路一段285巷,GA0105,121.566874,25.082158,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STHRR10
ITHRU,STHRU10,內湖路一段288巷,GA0105,121.567362,25.082142,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STHRU10
ITHWV,STHWV10,成功路四段61巷,GA0108,121.59235,25.082095,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STHWV10
ITIRH,STIRH10,內湖路一段-環山路,GA0105,121.565517,25.082362,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STIRH10
