Detector;Time;qPKW;vPKW
ZJHKR40;225.00;48;35.77
ZJ7KV40_ZINKW40;225.00;85;37.82
ZJSJD40;225.00;95;24.11
ZK5JW60;225.00;46;38.83
ZK7K820;225.00;43;35.16
Z7230E0_ZK7KP40;225.00;82;36.89
ZJHKR20_ZJWJ740;225.00;129;38.45
ZKJJP20;225.00;144;38.8
ZK9KC60;225.00;103;54.55
ZJQJI20;225.00;116;41.53
ZJTJ820;225.00;142;45.18
ZJHKR40;230.00;93;31.6
ZJ7KV40_ZINKW40;230.00;59;40.85
ZJSJD40;230.00;100;17.69
ZK5JW60;230.00;43;38.56
ZK7K820;230.00;18;32.89
Z7230E0_ZK7KP40;230.00;77;39.36
ZJHKR20_ZJWJ740;230.00;98;39.17
ZKJJP20;230.00;141;45.77
ZK9KC60;230.00;126;42.45
ZJQJI20;230.00;121;37.42
ZJTJ820;230.00;155;41.52
ZJHKR40;235.00;59;33.02
ZJ7KV40_ZINKW40;235.00;68;40.41
ZJSJD40;235.00;82;20.59
ZK5JW60;235.00;50;33.26
ZK7K820;235.00;27;37.74
Z7230E0_ZK7KP40;235.00;76;37.77
ZJHKR20_ZJWJ740;235.00;110;39.9
ZKJJP20;235.00;130;39.91
ZK9KC60;235.00;91;45.32
ZJQJI20;235.00;129;35.5
ZJTJ820;235.00;125;46.47
ZJHKR40;240.00;96;33.58
ZJ7KV40_ZINKW40;240.00;82;40.36
ZJSJD40;240.00;112;23.44
ZK5JW60;240.00;37;35.57
ZK7K820;240.00;17;33.65
Z7230E0_ZK7KP40;240.00;85;33.88
ZJHKR20_ZJWJ740;240.00;109;39.77
ZKJJP20;240.00;128;43.78
ZK9KC60;240.00;128;38.09
ZJQJI20;240.00;131;37.49
ZJTJ820;240.00;150;45.09
ZJHKR40;245.00;57;37.3
ZJ7KV40_ZINKW40;245.00;74;37.19
ZJSJD40;245.00;81;24.86
ZK5JW60;245.00;58;37.64
ZK7K820;245.00;40;35.62
Z7230E0_ZK7KP40;245.00;84;30.72
ZJHKR20_ZJWJ740;245.00;130;39.76
ZKJJP20;245.00;123;38.46
ZK9KC60;245.00;111;37.14
ZJQJI20;245.00;115;40.32
ZJTJ820;245.00;153;43.3
ZJHKR40;250.00;100;33.23
ZJ7KV40_ZINKW40;250.00;78;40.82
ZJSJD40;250.00;140;22.14
ZK5JW60;250.00;36;28.81
ZK7K820;250.00;28;40.68
Z7230E0_ZK7KP40;250.00;72;29.43
ZJHKR20_ZJWJ740;250.00;102;41.4
ZKJJP20;250.00;161;36.99
ZK9KC60;250.00;136;36.96
ZJQJI20;250.00;114;40.18
ZJTJ820;250.00;118;42.79
ZJHKR40;255.00;69;34.54
ZJ7KV40_ZINKW40;255.00;75;38.08
ZJSJD40;255.00;102;27.58
ZK5JW60;255.00;64;37.0
ZK7K820;255.00;35;36.63
Z7230E0_ZK7KP40;255.00;74;33.05
ZJHKR20_ZJWJ740;255.00;131;37.66
ZKJJP20;255.00;147;46.29
ZK9KC60;255.00;104;36.18
ZJQJI20;255.00;123;39.14
ZJTJ820;255.00;152;43.53
ZJHKR40;260.00;89;30.9
ZJ7KV40_ZINKW40;260.00;69;40.35
ZJSJD40;260.00;96;25.34
ZK5JW60;260.00;37;42.11
ZK7K820;260.00;20;40.55
Z7230E0_ZK7KP40;260.00;67;33.89
ZJHKR20_ZJWJ740;260.00;108;39.98
ZKJJP20;260.00;168;37.52
ZK9KC60;260.00;123;35.32
ZJQJI20;260.00;122;41.82
ZJTJ820;260.00;134;43.05
ZJHKR40;265.00;62;34.39
ZJ7KV40_ZINKW40;265.00;66;40.94
ZJSJD40;265.00;80;24.2
ZK5JW60;265.00;63;34.19
ZK7K820;265.00;30;43.0
